,p values,position,lacune,microbleeds,PVS,WMH
357,0.03259484,Parietal_mean,1,2,2,1
358,0.040751308,CH_mean,1,2,2,1
359,0.049451473,total_mean,1,2,2,1
360,0.03259484,Parietal_mean,1,2,2,2
361,0.040751308,CH_mean,1,2,2,2
362,0.049451473,total_mean,1,2,2,2
363,0.03259484,Parietal_mean,1,2,3,0
364,0.040751308,CH_mean,1,2,3,0
365,0.049451473,total_mean,1,2,3,0
366,0.03259484,Parietal_mean,1,2,3,1
367,0.040751308,CH_mean,1,2,3,1
368,0.049451473,total_mean,1,2,3,1
369,0.03259484,Parietal_mean,1,2,3,2
370,0.040751308,CH_mean,1,2,3,2
371,0.049451473,total_mean,1,2,3,2
372,0.03259484,Parietal_mean,1,2,4,0
373,0.040751308,CH_mean,1,2,4,0
374,0.049451473,total_mean,1,2,4,0
375,0.03259484,Parietal_mean,1,2,4,1
376,0.040751308,CH_mean,1,2,4,1
377,0.049451473,total_mean,1,2,4,1
378,0.03259484,Parietal_mean,1,2,4,2
379,0.040751308,CH_mean,1,2,4,2
380,0.049451473,total_mean,1,2,4,2
381,0.03259484,Parietal_mean,1,2,6,0
382,0.040751308,CH_mean,1,2,6,0
383,0.049451473,total_mean,1,2,6,0
384,0.03259484,Parietal_mean,1,2,6,1
385,0.040751308,CH_mean,1,2,6,1
386,0.049451473,total_mean,1,2,6,1
387,0.03259484,Parietal_mean,1,2,6,2
388,0.040751308,CH_mean,1,2,6,2
389,0.049451473,total_mean,1,2,6,2
